behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_051,126,15458.38652767543,4949.359252408141,122.6856073625034,7004.069387826805,4352.539252308778,6299.849980300671,2861.681570144772,0.1,0.2,0.4,0.3,ok
behavior_157,154,18719.01889005585,4958.090723018079,121.55207071464838,5636.85778666004,4129.527459268172,7699.816642589707,2815.5496038782467,0.4,0.4,0.1,0.1,ok
behavior_086,155,18663.3286768517,4962.807323417835,120.40857210872063,5821.753073565124,4171.740771417767,7749.815451957173,2130.54639611367,0.2,0.2,0.3,0.3,ok
behavior_198,160,19447.41321298979,4969.9455825197,121.54633258118619,5115.306635950058,5590.997092548638,7999.8094987945005,2946.249937376062,0.7,0.0,0.1,0.2,ok
behavior_125,155,18663.3286768517,4974.120523109036,120.40857210872063,5821.753073565124,4171.740771417767,7749.815451957173,2130.54639611367,0.3,0.3,0.2,0.2,ok
behavior_188,156,18781.232370622613,4974.387119431455,120.3925151962988,5380.262039553533,5084.599367621246,7799.814261324638,2288.942664023721,0.6,0.1,0.1,0.2,ok
behavior_038,126,15474.956655013484,4982.777124809782,122.81711630963083,6923.322102309782,4425.141535546651,6299.849980300671,2851.2998110711565,0.1,0.0,0.5,0.4,ok
behavior_103,155,18616.181463787267,4991.534873584185,120.10439654056302,5910.589782086189,4087.0022795458667,7749.815451957173,2159.526870025796,0.2,0.5,0.2,0.1,ok
behavior_022,125,15366.860654111633,5007.584479211329,122.93488523289307,7032.1992549142515,4307.570804176622,6249.851170933205,2951.9382624586838,0.0,0.3,0.5,0.2,ok
behavior_196,153,18601.665759648495,5015.702381646822,121.5795147689444,5319.274973763743,4560.343493471443,7649.8178332222415,3154.7766179925225,0.6,0.4,0.0,0.0,ok
behavior_214,176,21390.337861945798,5019.440702765204,121.53601057923748,4599.401842108677,5984.435141355682,8799.79044867395,4796.059241513477,0.9,0.0,0.1,0.0,ok
behavior_070,125,15366.9837975583,5022.3899723461745,122.9358703804664,7027.46278983932,4294.575624067075,6249.851170933205,2974.0053004874217,0.1,0.5,0.3,0.1,ok
behavior_208,173,21058.807050946743,5023.423355497246,121.72720838697539,4639.81432382833,5853.82873049188,8649.794020571553,4465.924943774246,0.8,0.0,0.1,0.1,ok
behavior_073,126,15474.956655013484,5045.124337010692,122.81711630963083,6923.322102309782,4425.141535546651,6299.849980300671,2851.2998110711565,0.2,0.0,0.4,0.4,ok
behavior_009,125,15366.860654111633,5066.249261715198,122.93488523289307,7032.1992549142515,4307.570804176622,6249.851170933205,2951.9382624586838,0.0,0.1,0.6,0.3,ok
behavior_160,153,18588.54655792797,5084.53785532743,121.4937683524704,5625.671736552419,4138.574754768484,7649.8178332222415,2953.1001224625084,0.4,0.5,0.1,0.0,ok
behavior_058,125,15366.860654111633,5085.819287609434,122.93488523289307,7032.1992549142515,4307.570804176622,6249.851170933205,2951.9382624586838,0.1,0.3,0.4,0.2,ok
