route_name,point_index,lon,lat
start_83eea8fffffffff_end_83074dfffffffff,45,-10.024739572990264,-43.549696335048125
start_83eea8fffffffff_end_83074dfffffffff,46,-8.811569504301747,-42.79222872595698
start_83eea8fffffffff_end_83074dfffffffff,47,-7.297583368042062,-43.15202911643017
start_83eea8fffffffff_end_83074dfffffffff,48,-5.771916661959956,-43.490407918646426
start_83eea8fffffffff_end_83074dfffffffff,49,-4.611806605171584,-42.69108900301848
start_83eea8fffffffff_end_83074dfffffffff,50,-3.479997205997279,-41.87934757863095
start_83eea8fffffffff_end_83074dfffffffff,51,-2.376316585449783,-41.05643049885101
start_83eea8fffffffff_end_83074dfffffffff,52,-1.3005178124081704,-40.22359258373954
start_83eea8fffffffff_end_83074dfffffffff,53,0.165340425836739,-40.49192039880524
start_83eea8fffffffff_end_83074dfffffffff,54,1.1946592703418817,-39.64005794136374
start_83eea8fffffffff_end_83074dfffffffff,55,2.641290865643189,-39.87824366845458
start_83eea8fffffffff_end_83074dfffffffff,56,4.085765786283308,-40.09662344485254
start_83eea8fffffffff_end_83074dfffffffff,57,5.52625909456995,-40.29525639834552
start_83eea8fffffffff_end_83074dfffffffff,58,6.960975982868313,-40.474281681667655
start_83eea8fffffffff_end_83074dfffffffff,59,8.38816491327464,-40.63391492793773
start_83eea8fffffffff_end_83074dfffffffff,60,9.276452837701106,-39.73623076175167
start_83eea8fffffffff_end_83074dfffffffff,61,10.669055472625416,-39.87100174093711
start_83eea8fffffffff_end_83074dfffffffff,62,12.050158276633598,-39.98775203862933
start_83eea8fffffffff_end_83074dfffffffff,63,13.418319668728286,-40.08690611235247
start_83eea8fffffffff_end_83074dfffffffff,64,14.772183868054263,-40.16893925400954
start_83eea8fffffffff_end_83074dfffffffff,65,16.11048701648742,-40.23437162354958
start_83eea8fffffffff_end_83074dfffffffff,66,16.841523944022708,-39.31652565610744
start_83eea8fffffffff_end_83074dfffffffff,67,17.54849013386707,-38.40092098955112
start_83eea8fffffffff_end_83074dfffffffff,68,18.232350216246875,-37.4884611110986
start_83eea8fffffffff_end_83074dfffffffff,69,19.475359199332257,-37.53501003744582
start_83eea8fffffffff_end_83074dfffffffff,70,20.138335160125155,-36.65403642192079
start_83eea8fffffffff_end_83074dfffffffff,71,19.583201671411604,-35.72703060646286
start_83eea8fffffffff_end_83074dfffffffff,72,18.323547768493626,-35.616445149533696
start_83eea8fffffffff_end_83074dfffffffff,73,17.09643502324732,-35.543257797704605
start_83eea8fffffffff_end_83074dfffffffff,74,16.544781461658932,-34.55898123252035
start_83eea8fffffffff_end_83074dfffffffff,75,17.214336055881382,-33.6666504024001
start_83eea8fffffffff_end_83074dfffffffff,76,16.69119516002923,-32.70050795037593
start_83eea8fffffffff_end_83074dfffffffff,77,16.17502607952168,-31.72411326250497
start_83eea8fffffffff_end_83074dfffffffff,78,15.665772490151175,-30.738126302407583
start_83eea8fffffffff_end_83074dfffffffff,79,15.163375195964989,-29.74324042247509
start_83eea8fffffffff_end_83074dfffffffff,80,14.667772366641564,-28.74018031053427
start_83eea8fffffffff_end_83074dfffffffff,81,14.178899765626223,-27.729699632043083
start_83eea8fffffffff_end_83074dfffffffff,82,13.696690968940992,-26.71257838167027
start_83eea8fffffffff_end_83074dfffffffff,83,13.221077574636722,-25.68961996336544
start_83eea8fffffffff_end_83074dfffffffff,84,12.751989402903767,-24.661648023129807
start_83eea8fffffffff_end_83074dfffffffff,85,12.289354686900094,-23.629503063501467
start_83eea8fffffffff_end_83074dfffffffff,86,11.833100254394347,-22.59403887313197
start_83eea8fffffffff_end_83074dfffffffff,87,11.383151700354611,-21.556118808611853
start_83eea8fffffffff_end_83074dfffffffff,88,10.939433550642883,-20.51661196878292
start_83eea8fffffffff_end_83074dfffffffff,89,10.50186941700058,-19.476389304052816
start_83eea8fffffffff_end_83074dfffffffff,90,11.18620492506647,-18.60602822543536
