lat_band,benchmark_lat_median,benchmark_lon_median,route_lat_median,route_lon_median,n_points,behavior,lon_error_deg,lon_error_km,squared_lon_error_km
"(-10, 0]",-3.46887202499999,-9.91567052953346,-5.124526286287199,-17.874939018243257,11,behavior_064,-7.959268488709798,884.4024076208269,782167.6186055153
"(0, 10]",5.03812620000001,-18.191934691485,4.8918705960494515,-20.170103522713493,10,behavior_064,-1.9781688312284942,219.3589698755312,48118.3576648542
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_064,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_064,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_064,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_064,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_064,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_065,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_065,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-55.08066101544612,-7.994319355931565,9,behavior_065,-13.888559841492985,848.8301636237884,720512.6466775874
"(-50, -40]",-45.6231879,11.03997350737515,-44.855496321416425,-10.493831676099912,10,behavior_065,-21.53380518347506,1676.499940893019,2810652.051814296
"(-40, -30]",-35.3528118,3.646997812277105,-34.88897535307018,-11.980319247532815,8,behavior_065,-15.62731705980992,1418.8526399924992,2013142.8140136846
"(-30, -20]",-24.5127375,1.60011999570311,-25.06543645252785,-13.749315006751306,9,behavior_065,-15.349435002454417,1554.6924435529947,2417068.5940407817
"(-20, -10]",-14.62973805,-5.954104569439496,-14.749954586353766,-15.320296675291655,10,behavior_065,-9.366192105852159,1008.8401033723569,1017758.3541723478
"(-10, 0]",-3.46887202499999,-9.91567052953346,-5.683114054388631,-18.729718166437248,11,behavior_065,-8.814047636903789,979.382082916262,959189.2643373959
"(0, 10]",5.03812620000001,-18.191934691485,4.8918705960494515,-20.170103522713493,10,behavior_065,-1.9781688312284942,219.3589698755312,48118.3576648542
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_065,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_065,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_065,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_065,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_065,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_066,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_066,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-55.08066101544612,-7.994319355931565,9,behavior_066,-13.888559841492985,848.8301636237884,720512.6466775874
"(-50, -40]",-45.6231879,11.03997350737515,-45.419731265547576,-10.984348088940116,9,behavior_066,-22.024321596315268,1714.6887667938279,2940157.5669689383
"(-40, -30]",-35.3528118,3.646997812277105,-35.04836290451982,-13.213807527658236,9,behavior_066,-16.86080533993534,1530.844871029824,2343486.019158318
"(-30, -20]",-24.5127375,1.60011999570311,-24.64549821422348,-14.935346195997385,9,behavior_066,-16.535466191700493,1674.8215380404597,2805027.184284211
"(-20, -10]",-14.62973805,-5.954104569439496,-14.692557581405735,-16.824498283026013,10,behavior_066,-10.870393713586518,1170.8588713294478,1370910.4965708684
"(-10, 0]",-3.46887202499999,-9.91567052953346,-5.140179446860763,-18.737103839858555,10,behavior_066,-8.821433310325096,980.202749710575,960797.430540172
"(0, 10]",5.03812620000001,-18.191934691485,4.8918705960494515,-20.170103522713493,10,behavior_066,-1.9781688312284942,219.3589698755312,48118.3576648542
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_066,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_066,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_066,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_066,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_066,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_067,0.16112316506479551,5.714860664407858,32.65963241359623
