behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_188,160,19042.295905499548,5355.191565389524,119.01434940937217,6071.529457381601,4797.107415182859,7999.8094987945005,2162.910997814128,0.6,0.1,0.1,0.2,ok
behavior_206,189,22913.49842908288,5364.582039934794,121.23544142371894,5285.311774727314,5549.545992085575,9449.774970451002,5140.9956765539355,0.7,0.3,0.0,0.0,ok
behavior_093,158,18817.432418684642,5365.574136476881,119.09767353597876,6298.625811446012,4285.882774950881,7899.811880059569,2250.7028884227097,0.2,0.3,0.3,0.2,ok
behavior_058,133,16141.308109287389,5366.874204146508,121.36321886682248,7291.0605393459045,4457.224311287911,6649.84164587293,3203.320992381849,0.1,0.3,0.4,0.2,ok
behavior_149,158,18815.528256267455,5382.448834173804,119.08562187511048,6187.8165760217835,4380.149090241648,7899.811880059569,2256.6500485242177,0.4,0.2,0.2,0.2,ok
behavior_177,161,19382.61157046368,5386.97574681446,120.38889174201043,6071.79471531252,4285.972973359721,8049.808308161966,2603.0566633408675,0.5,0.3,0.1,0.1,ok
behavior_009,134,16289.09990248993,5391.5764082395945,121.56044703350695,7435.895414195145,4543.139740010748,6699.840455240395,3057.8605369809243,0.0,0.1,0.6,0.3,ok
behavior_130,157,18876.608972920872,5399.512063412449,120.23317817147053,6110.653972797797,4326.014006488079,7849.813070692104,2659.476548394566,0.3,0.4,0.2,0.1,ok
behavior_029,133,16141.703900351724,5427.892507291974,121.36619473948664,7295.001633678866,4456.59896279331,6649.84164587293,3203.320992381849,0.0,0.4,0.5,0.1,ok
behavior_198,169,20360.640171030882,5430.427750622084,120.47716077533066,5669.76673639787,5848.960657257311,8449.79878310169,3083.0557841670397,0.7,0.0,0.1,0.2,ok
behavior_137,158,18776.632276526245,5454.929127492313,118.8394447881408,6110.069328089523,4806.352037394008,7899.811880059569,2136.526107462096,0.4,0.0,0.3,0.3,ok
behavior_045,134,16299.11667078145,5459.186137272919,121.63519903568246,7336.566109208559,4481.471568385285,6699.840455240395,3091.5404729777715,0.1,0.1,0.5,0.3,ok
