latitude_band,bearing_sector,count,mean,median,min,max
70,S,687,121.13137156530836,123.02394408848296,96.19341205561058,131.3784999251779
70,SE,683,122.03404537664399,121.94098398229856,107.2640958457328,131.37849992517798
70,SW,650,120.93595703070577,122.57789296234756,100.89322755831432,131.31568777821673
70,W,671,120.54704104596736,122.11883458940356,95.45039595259604,131.3784999251759
80,E,222,123.6477898515925,122.93101291914337,114.44834068351584,130.65116277570817
80,N,218,123.22036296181346,124.7946374385262,111.0261300530838,129.98989164811996
80,NE,221,122.89557136093893,123.98687048551768,110.05402780269624,130.63072644943588
80,NW,218,123.3200341180256,124.17359833969685,114.11940496352838,130.38262786041795
80,S,218,122.98404283257915,124.2164343301281,111.0261300530838,130.48391647115736
80,SE,219,123.11172184292708,124.35723586796148,112.75776815947889,130.71276324848793
80,SW,220,122.60233338274759,123.69633118039005,109.0600479360376,130.63072644943588
80,W,222,123.53793367645575,122.97119382617115,111.27188823828118,130.81646567063456
